# {
#     "changing_threshold": 0.2,
#     "command": "/g100/home/userexternal/xdhori00/.conda/envs/majiq/bin/voila tsv --threshold 0.2 -j 30 output/splicegraph.sql output/oocyte-cumulus.deltapsi.voila -f ../output_tsv/PRJNA649934_voila.tsv",
#     "group_sizes": {
#         "cumulus": 4,
#         "oocyte": 6
#     },
#     "non_changing_threshold": 0.05,
#     "voila_version": "2.4.dev102+g2cae1507"
# }
gene_name	gene_id	lsv_id	mean_dpsi_per_lsv_junction	probability_changing	probability_non_changing	oocyte_mean_psi	cumulus_mean_psi	lsv_type	num_junctions	num_exons	de_novo_junctions	seqid	strand	junctions_coords	exons_coords	ir_coords	ucsc_lsv_link
GOLGA2	ENSG00000167110.19	ENSG00000167110.19:t:128268420-128269459	-0.3973;0.3973	9.998e-01;9.998e-01	6.526e-12;6.085e-12	0.9949;0.0051	0.5925;0.4075	t|1e1.1o1|1e2.1o1	2	3	0;0	chr9	-	128268524-128273850;128268524-128272785	128268420-128269459;128270316-128272865;128273640-128273972		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr9%3A128273972-128268420
UGP2	ENSG00000169764.16	ENSG00000169764.16:t:63855909-63856433	-0.3846;0.3474;0.0000;0.0000;0.0003;0.0000;0.0000;0.0000;0.0000	1.000e+00;1.000e+00;5.487e-21;5.487e-21;5.570e-21;5.487e-21;5.487e-21;5.487e-21;5.487e-21	0.000e+00;2.622e-20;1.000e+00;1.000e+00;9.881e-01;1.000e+00;1.000e+00;1.000e+00;1.000e+00	0.6024;0.3908;0.0001;0.0001;0.0069;0.0001;0.0001;0.0001;0.0001	0.2272;0.7341;0.0003;0.0000;0.0393;0.0000;0.0000;0.0000;0.0001	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o1|1e7.1o1|1e8.1o1|2e2.1o1	9	9	0;0;0;0;0;0;0;0;0	chr2	+	63841232-63856306;63842204-63856306;63842437-63856306;63842471-63856306;63842599-63856306;63846174-63856306;63854936-63856306;63855643-63856306;63842204-63856330	63840952-63841232;63841851-63842204;63842325-63842437;63842438-63842471;63842539-63842599;63846074-63846174;63854845-63854936;63855567-63855643;63855909-63856433		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A63856433-63840952
TMEM179B	ENSG00000185475.11	ENSG00000185475.11:s:62789292-62789426	0.3645;-0.3645	1.000e+00;1.000e+00	2.252e-20;0.000e+00	0.6163;0.3837	0.9638;0.0362	s|1e1.1o1|1e2.1o1	2	3	0;0	chr11	+	62789426-62789601;62789426-62789886	62789292-62789426;62789601-62789823;62789886-62790400		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr11%3A62790400-62789292
TMEM179B	ENSG00000185475.11	ENSG00000185475.11:t:62789886-62790400	-0.3784;0.3784	1.000e+00;1.000e+00	0.000e+00;2.221e-20	0.3993;0.6007	0.0396;0.9604	t|1e1.1o1|1e2.1o1	2	3	0;0	chr11	+	62789426-62789886;62789679-62789886	62789292-62789426;62789601-62789823;62789886-62790400		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr11%3A62790400-62789292
TMEM116	ENSG00000198270.13	ENSG00000198270.13:s:111991744-111991889	-0.0094;0.2061;-0.0963;-0.0520	1.481e-04;5.315e-01;1.392e-01;6.803e-05	4.852e-01;1.709e-03;8.642e-02;2.518e-01	0.1215;0.0322;0.7466;0.1024	0.1087;0.2412;0.6234;0.0256	s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1	4	5	0;0;0;0	chr12	-	111978787-111991758;111965759-111991758;111943369-111991758;111938210-111991758	111938047-111938210;111943261-111943369;111965592-111965759;111978736-111978787;111991744-111991889		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A111991889-111938047
TMEM116	ENSG00000198270.13	ENSG00000198270.13:t:111933886-111934030	-0.2174;0.0003;0.2116	5.965e-01;1.301e-06;5.739e-01	8.814e-03;9.843e-01;1.020e-02	0.3145;0.0035;0.6820	0.0657;0.0079;0.9249	t|1e1.1o1|1e2.1o2|1e2.2o2	3	3	0;0;0	chr12	-	111934030-111937160;111934030-111936742;111934030-111936692	111933886-111934030;111936692-111936830;111937160-111937243		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A111937243-111933886
PEDS1	ENSG00000240849.11	ENSG00000240849.11:t:50129546-50129690	0.0037;0.0000;0.9439;-0.6958;-0.2280	2.667e-07;5.488e-21;1.000e+00;1.000e+00;7.352e-01	8.615e-01;9.998e-01;2.240e-21;0.000e+00;7.992e-08	0.0007;0.0007;0.0422;0.7025;0.2514	0.0314;0.0020;0.9632;0.0020;0.0020	t|1e1.1o1|1e2.1o2|1e2.2o2|1e3.1o1|1e4.1o1	5	5	0;0;0;1;1	chr20	-	50129690-50143502;50129690-50130865;50129690-50130856;50129690-50130052;50129690-50129945	50129546-50129690;50129945-na;50130052-na;50130856-50130947;50143502-50143621		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr20%3A50143621-50129546
MRPS6	ENSG00000243927.6	ENSG00000243927.6:s:34102835-34102912	-0.1125;-0.2128;0.3641	1.948e-01;5.817e-01;9.804e-01	6.604e-02;3.992e-04;3.582e-06	0.4019;0.2475;0.3701	0.2485;0.0085;0.7360	s|1e1.1o1|2e1.1o1|i	3	2	0;1;1	chr21	+	34102908-34103497;34102912-34103497;34102913-34103496	34102835-34102912;34103497-34103519	34102913-34103496	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr21%3A34103519-34102835
FAM114A2	ENSG00000055147.19	ENSG00000055147.19:t:154034744-154034967	0.2625;0.0000;0.0032;-0.0031;-0.2022;-0.0151;-0.0000;0.0000;0.0000;0.0000	7.202e-01;6.888e-09;5.255e-05;1.365e-08;5.354e-01;6.670e-06;6.879e-09;6.888e-09;6.888e-09;6.886e-09	4.232e-03;9.988e-01;8.624e-01;8.802e-01;1.336e-02;5.884e-01;9.972e-01;9.988e-01;9.988e-01;9.978e-01	0.3806;0.0006;0.0006;0.0294;0.5195;0.0535;0.0072;0.0006;0.0006;0.0069	0.6712;0.0018;0.0185;0.0018;0.2828;0.0170;0.0018;0.0018;0.0018;0.0018	t|1e1.1o3|1e1.2o3|1e1.3o3|1e2.1o2|1e2.2o2|1e3.1o1|1e4.1o1|2e1.1o3|2e2.1o2|2e2.2o2	10	5	0;0;0;0;0;0;0;0;0;0	chr5	-	154034967-154038857;154034967-154038836;154034967-154038827;154034967-154038388;154034967-154038293;154034967-154036722;154034967-154036242;154034946-154038857;154034946-154038388;154034946-154038293	154034744-154034967;154036242-154036385;154036722-154037310;154038293-154038747;154038827-154038936		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr5%3A154038936-154034744
DUSP12	ENSG00000081721.12	ENSG00000081721.12:s:161749758-161750145	-0.0000;0.2572;-0.2550	5.491e-21;8.088e-01;7.989e-01	9.995e-01;2.144e-04;2.586e-04	0.0034;0.0760;0.9208	0.0014;0.3280;0.6705	s|1e1.1o1|2e2.1o2|2e2.2o2	3	3	0;0;0	chr1	+	161750088-161751132;161750145-161751655;161750145-161751668	161749758-161750145;161751132-161751377;161751655-161751781		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A161751781-161749758
DUSP12	ENSG00000081721.12	ENSG00000081721.12:t:161751655-161751781	0.2579;-0.0003;-0.2461	8.128e-01;5.838e-10;7.519e-01	2.013e-04;9.866e-01;4.569e-04	0.0753;0.0123;0.9163	0.3280;0.0014;0.6705	t|1e1.2o2|1e2.1o1|2e1.2o2	3	3	0;0;0	chr1	+	161750145-161751655;161751377-161751655;161750145-161751668	161749758-161750145;161751132-161751377;161751655-161751781		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A161751781-161749758
CREM	ENSG00000095794.21	ENSG00000095794.21:s:35126791-35127193	-0.1319;-0.0257;0.3039;-0.1133	1.430e-01;9.214e-03;9.738e-01;5.621e-02	3.068e-02;3.302e-01;8.730e-08;5.531e-02	0.1652;0.6743;0.0099;0.1404	0.0337;0.6321;0.3281;0.0121	s|1e1.1o1|1e2.1o1|1e3.2o2|1e4.1o1	4	5	0;0;0;0	chr10	+	35127193-35137782;35127193-35148368;35127193-35178889;35127193-35206895	35126791-35127193;35137782-35137879;35148368-35148663;35178872-35178986;35206895-35207051		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr10%3A35207051-35126791
CREM	ENSG00000095794.21	ENSG00000095794.21:s:35148368-35148663	-0.2401;-0.0000;-0.0000;-0.0000;0.3229;-0.0630	7.682e-01;5.487e-21;5.487e-21;5.487e-21;9.664e-01;4.085e-03	3.966e-05;1.000e+00;1.000e+00;1.000e+00;4.085e-07;1.885e-01	0.2734;0.0010;0.0010;0.0010;0.5932;0.1232	0.0215;0.0007;0.0007;0.0007;0.9322;0.0464	s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o2|1e4.2o2|1e5.1o1	6	6	0;0;0;0;0;0	chr10	+	35148491-35152280;35148491-35154061;35148491-35175853;35148491-35178872;35148491-35178889;35148491-35206895	35148368-35148663;35152280-35152398;35154061-35154565;35175853-35175999;35178872-35178986;35206895-35207051		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr10%3A35207051-35148368
CREM	ENSG00000095794.21	ENSG00000095794.21:t:35148368-35148663	0.2166;-0.0002;-0.2076	6.037e-01;5.547e-21;5.472e-01	1.340e-03;9.920e-01;1.566e-03	0.7375;0.0122;0.2485	0.9644;0.0023;0.0333	t|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;0	chr10	+	35127193-35148368;35127567-35148368;35137879-35148368	35126791-35127193;35127424-35127567;35137782-35137879;35148368-35148663		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr10%3A35148663-35126791
CREM	ENSG00000095794.21	ENSG00000095794.21:t:35178872-35178986	-0.0000;-0.0000;0.2181;-0.0000;-0.2247;-0.0000;-0.0000;-0.0000	5.488e-21;5.488e-21;6.640e-01;5.488e-21;7.089e-01;5.488e-21;5.488e-21;5.488e-21	9.999e-01;9.999e-01;6.319e-05;9.999e-01;7.787e-05;9.999e-01;9.999e-01;9.999e-01	0.0011;0.0011;0.0106;0.0011;0.9823;0.0011;0.0011;0.0011	0.0004;0.0004;0.2506;0.0068;0.7429;0.0004;0.0004;0.0004	t|1e3.1o1|1e5.1o1|2e1.1o1|2e2.1o1|2e3.1o1|2e4.1o1|2e5.1o1|2e6.1o1	8	7	0;0;0;0;0;0;0;0	chr10	+	35148491-35178872;35175705-35178872;35127193-35178889;35137879-35178889;35148491-35178889;35167803-35178889;35175705-35178889;35175999-35178889	35126791-35127193;35137782-35137879;35148368-35148663;35167516-35167803;35175587-35175705;35175853-35175999;35178872-35178986		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr10%3A35178986-35126791
ACIN1	ENSG00000100813.15	ENSG00000100813.15:s:23090522-23090633	-0.3243;0.3243	9.575e-01;9.575e-01	8.776e-06;8.775e-06	0.9315;0.0685	0.5996;0.4004	s|1e1.1o1|1e2.1o1	2	3	0;0	chr14	-	23090101-23090522;23081836-23090522	23081748-23081836;23089982-23090101;23090522-23090633		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr14%3A23090633-23081748
ACIN1	ENSG00000100813.15	ENSG00000100813.15:t:23093479-23093544	0.3045;-0.3045	9.492e-01;9.492e-01	8.743e-09;9.230e-09	0.6682;0.3318	0.9941;0.0059	t|1e1.1o1|1e2.1o1	2	3	0;1	chr14	-	23093544-23094975;23093544-23094493	23093479-23093544;23094493-na;23094975-23095614		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr14%3A23095614-23093479
MAPK8	ENSG00000107643.17	ENSG00000107643.17:s:48306639-48306821	0.2963;-0.1508;-0.1028	8.259e-01;2.964e-01;2.176e-01	1.683e-03;2.666e-02;7.332e-02	0.1594;0.2733;0.5704	0.4748;0.0900;0.4289	s|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;1;0	chr10	+	48306821-48308095;48306821-48325897;48306821-48401612	48306639-48306821;48308095-48308288;48325897-48325965;48401612-48401782		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr10%3A48401782-48306639
MAPK8	ENSG00000107643.17	ENSG00000107643.17:t:48401612-48401782	-0.1222;0.2466;-0.0751;-0.0000	2.329e-01;7.131e-01;1.074e-01;5.488e-21	5.396e-02;2.071e-03;1.155e-01;9.999e-01	0.4252;0.1779;0.3977;0.0021	0.2793;0.4217;0.2863;0.0019	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1	4	5	0;0;0;0	chr10	+	48306821-48401612;48308288-48401612;48325965-48401612;48364656-48401612	48306639-48306821;48308095-48308288;48325897-48325965;48364612-48364656;48401612-48401782		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr10%3A48401782-48306639
ACSS3	ENSG00000111058.8	ENSG00000111058.8:t:81109560-81109704	-0.9743;0.0046;0.9616	1.000e+00;1.889e-08;1.000e+00	0.000e+00;8.377e-01;1.777e-21	0.9950;0.0025;0.0025	0.0020;0.0333;0.9647	t|1e1.1o1|1e2.1o2|1e2.2o2	3	3	0;0;0	chr12	+	81022519-81109560;81078428-81109560;81078431-81109560	81022383-81022519;81078057-81078431;81109560-81109704		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A81109704-81022383
MRPL2	ENSG00000112651.12	ENSG00000112651.12:s:43057571-43058233	-0.2537;0.2537	9.107e-01;9.107e-01	3.624e-11;3.791e-11	0.9261;0.0739	0.6785;0.3215	s|1e1.1o1|1e2.1o1	2	3	0;0	chr6	-	43056445-43058065;43054486-43058065	43054029-43054486;43056307-43056445;43057571-43058233		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr6%3A43058233-43054029
MRPL2	ENSG00000112651.12	ENSG00000112651.12:t:43054029-43054486	0.2516;-0.0463;-0.1925	8.980e-01;3.559e-06;4.498e-01	1.530e-11;2.737e-01;5.172e-04	0.0708;0.1546;0.7748	0.3213;0.0984;0.5824	t|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;0	chr6	-	43054486-43058065;43054486-43055897;43054486-43055545	43054029-43054486;43055545-43055717;43055892-43056007;43057571-43058233		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr6%3A43058233-43054029
TRAPPC13	ENSG00000113597.18	ENSG00000113597.18:s:65652501-65652736	0.4339;-0.4339	9.997e-01;9.997e-01	4.703e-13;4.123e-13	0.0403;0.9597	0.4627;0.5373	s|1e1.1o1|1e2.1o1	2	3	0;0	chr5	+	65652545-65655636;65652545-65658368	65652501-65652736;65655634-65655653;65657971-65658501		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr5%3A65658501-65652501
TRAPPC13	ENSG00000113597.18	ENSG00000113597.18:t:65657971-65658501	-0.4150;0.4150	9.994e-01;9.994e-01	3.174e-11;3.033e-11	0.9531;0.0469	0.5471;0.4529	t|1e1.1o1|1e2.1o1	2	3	0;0	chr5	+	65652545-65658368;65655653-65658368	65652501-65652736;65655634-65655653;65657971-65658501		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr5%3A65658501-65652501
B4GALT4	ENSG00000121578.13	ENSG00000121578.13:s:119236853-119237071	-0.0000;-0.2967;0.3059;-0.0001	5.488e-21;9.170e-01;9.335e-01;5.505e-21	1.000e+00;3.210e-05;2.597e-05;9.976e-01	0.0018;0.4271;0.5645;0.0097	0.0011;0.1217;0.8762;0.0011	s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1	4	5	0;0;0;0	chr3	-	119236251-119236853;119235227-119236853;119230244-119236853;119227041-119236853	119226809-119227041;119230080-119230244;119235145-119235227;119236153-119236251;119236853-119237071		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A119237071-119226809
CCDC91	ENSG00000123106.11	ENSG00000123106.11:t:28256725-28257245	0.0012;0.5158;0.2107;-0.7095;-0.0408	5.838e-21;1.000e+00;5.921e-01;1.000e+00;7.837e-09	9.518e-01;1.734e-20;3.945e-06;0.000e+00;4.458e-01	0.0006;0.0338;0.0035;0.8905;0.0726	0.0265;0.5326;0.2330;0.1944;0.0051	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1	5	6	0;0;1;0;0	chr12	+	28183839-28257202;28190641-28257202;28225861-28257202;28255662-28257202;28256078-28257202	28183726-28183839;28190427-28190641;28225795-28225861;28255562-28255837;28256004-28256078;28256725-28257245		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A28257245-28183726
INSIG2	ENSG00000125629.16	ENSG00000125629.16:s:118088452-118088541	0.6787;-0.6787	1.000e+00;1.000e+00	1.227e-20;0.000e+00	0.2911;0.7089	0.9589;0.0411	s|1e1.1o1|1e2.1o1	2	3	0;0	chr2	+	118088541-118096419;118088541-118103197	118088452-118088541;118096419-118096800;118103197-118103321		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A118103321-118088452
INSIG2	ENSG00000125629.16	ENSG00000125629.16:t:118096419-118096800	0.5971;-0.0069;-0.5652	1.000e+00;1.335e-05;1.000e+00	1.020e-19;6.212e-01;0.000e+00	0.3549;0.0640;0.5756	0.9450;0.0517;0.0034	t|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;1	chr2	+	118088541-118096419;118088666-118096419;118094487-118096419	na-118094487;118088452-118088541;118088550-118088666;118096419-118096800		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A118096800-118088452
INSIG2	ENSG00000125629.16	ENSG00000125629.16:t:118103197-118103321	-0.1446;-0.0556;-0.0000;0.2552;0.0000	8.760e-04;2.402e-20;5.487e-21;9.816e-01;5.487e-21	5.866e-05;4.016e-01;1.000e+00;3.371e-18;1.000e+00	0.1613;0.0899;0.0200;0.7255;0.0017	0.0099;0.0006;0.0006;0.9883;0.0006	t|1e1.1o1|1e2.1o1|1e3.1o2|1e3.2o2|1e4.1o1	5	5	0;1;0;0;0	chr2	+	118088541-118103197;118094487-118103197;118096426-118103197;118096800-118103197;118102710-118103197	na-118094487;118088452-118088541;118096419-118096800;118102538-118102710;118103197-118103321		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A118103321-118088452
MRPL35	ENSG00000132313.15	ENSG00000132313.15:s:86210480-86211045	-0.3587;0.3587	9.586e-01;9.586e-01	4.135e-05;4.135e-05	0.4834;0.5166	0.1111;0.8889	s|1e1.1o1|1e2.1o1	2	3	0;0	chr2	+	86210613-86212426;86210613-86213628	86210480-86211045;86212426-86212838;86213628-86213790		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A86213790-86210480
RINT1	ENSG00000135249.8	ENSG00000135249.8:s:105565277-105565457	-0.9705;0.9691	1.000e+00;1.000e+00	0.000e+00;1.602e-21	0.9701;0.0299	0.0132;0.9868	s|1e2.2o2|2e1.1o1	2	3	1;0	chr7	+	105565447-105567429;105565457-105565530	105565277-105565457;105565530-105565648;105567119-105567677		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A105567677-105565277
RINT1	ENSG00000135249.8	ENSG00000135249.8:t:105567119-105567677	0.9720;-0.7918;-0.1622	1.000e+00;1.000e+00;1.555e-01	1.545e-21;0.000e+00;6.797e-04	0.0151;0.8015;0.1857	0.9867;0.0067;0.0067	t|1e2.1o1|2e1.1o2|i	3	3	0;1;1	chr7	+	105565648-105567119;105565447-105567429;105565649-105567118	105565277-105565457;105565530-105565648;105567119-105567677	105565649-105567118	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A105567677-105565277
APTX	ENSG00000137074.20	ENSG00000137074.20:t:32987544-32987731	-0.4415;0.0000;0.4325;0.0005	9.887e-01;2.466e-09;9.864e-01;1.026e-07	1.295e-05;9.979e-01;1.591e-05;9.747e-01	0.7693;0.0030;0.2251;0.0030	0.3195;0.0034;0.6614;0.0037	t|1e1.1o1|1e2.1o3|1e2.2o3|2e2.2o3	4	3	0;0;0;0	chr9	-	32987731-32989759;32987731-32988092;32987731-32988083;32987729-32988083	32987544-32987731;32988079-32988565;32989759-32990088		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr9%3A32990088-32987544
APTX	ENSG00000137074.20	ENSG00000137074.20:t:32989759-32990088	0.0001;0.2628;0.0018;-0.0000;-0.1633;0.0321;-0.0005;-0.1484	5.504e-21;8.532e-01;6.676e-09;5.488e-21;3.843e-01;2.544e-03;5.644e-21;2.910e-01	9.976e-01;9.219e-06;9.280e-01;1.000e+00;2.388e-02;3.397e-01;9.796e-01;3.009e-02	0.0010;0.0010;0.0010;0.0010;0.5404;0.0845;0.0161;0.3584	0.0083;0.2920;0.0249;0.0009;0.3418;0.1461;0.0009;0.1881	t|1e1.1o2|1e1.2o2|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o2|1e5.2o2|1e6.1o1	8	7	0;0;0;0;0;0;0;0	chr9	-	32989895-33025023;32989895-33025000;32989895-33024804;32989895-33017676;32989895-33001567;32989895-33001516;32989895-33001333;32989895-32997243	32989759-32990088;32997243-32997348;33001333-33001522;33001567-33001641;33017676-33017868;33024804-33024987;33025000-33025130		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr9%3A33025130-32989759
FASTKD1	ENSG00000138399.18	ENSG00000138399.18:s:169540051-169540179	-0.2954;0.2655;0.0051	8.088e-01;7.362e-01;2.270e-04	1.306e-03;2.406e-03;7.919e-01	0.9405;0.0566;0.0030	0.6318;0.3388;0.0284	s|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;0	chr2	-	169538141-169540051;169537340-169540051;169531490-169540051	169531352-169531682;169537002-169537340;169538013-169538141;169540051-169540179		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A169540179-169531352
HNRNPD	ENSG00000138668.20	ENSG00000138668.20:s:82356796-82356895	-0.3006;0.3006	9.106e-01;9.106e-01	4.814e-05;4.814e-05	0.7003;0.2997	0.3961;0.6039	s|1e1.1o1|1e2.1o1	2	3	0;0	chr4	-	82356683-82356796;82355401-82356796	82355249-82355401;82356537-82356683;82356796-82356895		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr4%3A82356895-82355249
HNRNPD	ENSG00000138668.20	ENSG00000138668.20:t:82355249-82355401	0.3447;-0.3447	9.911e-01;9.911e-01	2.213e-08;2.212e-08	0.2171;0.7829	0.5600;0.4400	t|1e1.1o1|1e2.1o1	2	3	0;0	chr4	-	82355401-82356796;82355401-82356537	82355249-82355401;82356537-82356683;82356796-82356895		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr4%3A82356895-82355249
SLC38A6	ENSG00000139974.17	ENSG00000139974.17:s:60984730-60984803	0.0000;-0.5931;0.0000;0.6025;0.0031	5.488e-21;1.000e+00;5.488e-21;1.000e+00;4.452e-07	9.999e-01;0.000e+00;9.999e-01;2.061e-20;7.992e-01	0.0074;0.6076;0.0007;0.3504;0.0267	0.0017;0.0119;0.0017;0.9417;0.0355	s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1	5	6	0;0;0;0;0	chr14	+	60984803-60987052;60984803-61002029;60984803-61004422;60984803-61015904;60984803-61030445	60984730-60984803;60987052-60987590;61002029-61002236;61004422-61004637;61015904-61015956;61030445-61031039		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr14%3A61031039-60984730
VLDLR	ENSG00000147852.17	ENSG00000147852.17:s:2650370-2650626	0.2254;-0.2254	5.977e-01;5.977e-01	5.741e-03;5.741e-03	0.0602;0.9398	0.3119;0.6881	s|1e1.1o1|1e2.1o1	2	3	0;0	chr9	+	2650516-2651415;2650516-2651874	2650370-2650626;2650782-2651498;2651874-2652096		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr9%3A2652096-2650370
VLDLR	ENSG00000147852.17	ENSG00000147852.17:t:2651874-2652096	-0.2292;0.2292	6.179e-01;6.179e-01	4.433e-03;4.433e-03	0.9369;0.0631	0.6705;0.3295	t|1e1.1o1|1e2.1o1	2	3	0;0	chr9	+	2650516-2651874;2651498-2651874	2650370-2650626;2650782-2651498;2651874-2652096		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr9%3A2652096-2650370
ABHD3	ENSG00000158201.10	ENSG00000158201.10:s:21683781-21683965	-0.5499;-0.0164;0.6036	1.000e+00;4.677e-09;1.000e+00	0.000e+00;6.462e-01;4.946e-19	0.5589;0.0531;0.3818	0.0050;0.0050;0.9900	s|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;1;0	chr18	-	21683005-21683920;21673966-21683920;21664230-21683920	na-21673966;21663678-21664534;21682900-21683005;21683781-21683965		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr18%3A21683965-21663678
ZNF667-AS1	ENSG00000166770.12	ENSG00000166770.12:s:56494163-56494342	-0.3734;0.3734	9.935e-01;9.935e-01	1.385e-08;1.386e-08	0.4640;0.5360	0.0998;0.9002	s|1e1.1o1|i	2	2	0;0	chr19	+	56494342-56495048;56494343-56495047	56494163-56494342;56495048-56495442	56494343-56495047	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr19%3A56495442-56494163
ZNF610	ENSG00000167554.15	ENSG00000167554.15:s:52347707-52348212	-0.2754;0.2754	7.899e-01;7.899e-01	1.845e-03;1.845e-03	0.5263;0.4737	0.2341;0.7659	s|1e1.1o1|2e1.1o1	2	2	0;0	chr19	+	52347831-52349154;52347944-52349154	52347707-52348212;52349145-52349235		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr19%3A52349235-52347707
SLC35G2	ENSG00000168917.9	ENSG00000168917.9:s:136818647-136820512	0.4742;-0.4757;0.0000	9.927e-01;9.929e-01;3.171e-10	2.916e-06;2.764e-06;9.977e-01	0.2651;0.7314;0.0033	0.7380;0.2570;0.0045	s|1e2.1o1|2e2.1o1|3e1.1o1	3	3	0;0;0	chr3	+	136819214-136854443;136819628-136854443;136820512-136842352	136818647-136820512;136842352-136843322;136854443-136855888		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A136855888-136818647
ELOVL6	ENSG00000170522.10	ENSG00000170522.10:t:110045846-110051786	-0.0083;-0.4953;0.5410	8.207e-21;1.000e+00;1.000e+00	7.625e-01;0.000e+00;1.645e-20	0.0439;0.5101;0.4505	0.0017;0.0017;0.9967	t|1e2.1o1|2e3.1o1|3e1.1o1	3	4	1;1;0	chr4	-	110051786-110058776;110051784-110058775;110051762-110059603	110045846-110051786;110058775-na;110058776-na;110059603-110060039		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr4%3A110060039-110045846
ELOVL6	ENSG00000170522.10	ENSG00000170522.10:t:110059603-110060039	0.4583;-0.0001;-0.4481	1.000e+00;5.519e-21;1.000e+00	1.455e-16;9.957e-01;0.000e+00	0.5211;0.0083;0.4687	0.9921;0.0063;0.0016	t|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;1	chr4	-	110059754-110105497;110059754-110093106;110059754-110071869	110059603-110060039;110071869-na;110093106-110093134;110105497-110105628		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr4%3A110105628-110059603
