#miRNA	read_count	precursor	total	cc1	cc2	cc3	mm1	mm2	mm3	cc1(norm)	cc2(norm)	cc3(norm)	mm1(norm)	mm2(norm)	mm3(norm)
hsa-miR-6511a-5p	1.00	hsa-mir-6511a-1	1.00	0	1.00	0	0	0	0	0	0.40	0	0	0	0
hsa-miR-6511a-3p	6.00	hsa-mir-6511a-1	6.00	1.00	0	2.00	2.00	1.00	0	0.64	0	3.04	0.45	0.49	0
hsa-miR-6511b-5p	4.00	hsa-mir-6511a-2	4.00	0	1.00	1.00	0	2.00	0	0	0.40	1.52	0	0.99	0
hsa-miR-6511a-5p	1.00	hsa-mir-6511a-2	1.00	0	1.00	0	0	0	0	0	0.40	0	0	0	0
hsa-miR-6511a-3p	6.00	hsa-mir-6511a-2	6.00	1.00	0	2.00	2.00	1.00	0	0.64	0	3.04	0.45	0.49	0
hsa-miR-6511b-5p	4.00	hsa-mir-6511a-3	4.00	0	1.00	1.00	0	2.00	0	0	0.40	1.52	0	0.99	0
hsa-miR-6511a-5p	1.00	hsa-mir-6511a-3	1.00	0	1.00	0	0	0	0	0	0.40	0	0	0	0
hsa-miR-6511a-3p	6.00	hsa-mir-6511a-3	6.00	1.00	0	2.00	2.00	1.00	0	0.64	0	3.04	0.45	0.49	0
hsa-miR-6511b-5p	4.00	hsa-mir-6511a-4	4.00	0	1.00	1.00	0	2.00	0	0	0.40	1.52	0	0.99	0
hsa-miR-6511a-5p	1.00	hsa-mir-6511a-4	1.00	0	1.00	0	0	0	0	0	0.40	0	0	0	0
hsa-miR-6511a-3p	6.00	hsa-mir-6511a-4	6.00	1.00	0	2.00	2.00	1.00	0	0.64	0	3.04	0.45	0.49	0
hsa-miR-6511b-5p	4.00	hsa-mir-6511b-1	4.00	0	1.00	1.00	0	2.00	0	0	0.40	1.52	0	0.99	0
hsa-miR-6511b-3p	2.00	hsa-mir-6511b-1	2.00	0	1.00	1.00	0	0	0	0	0.40	1.52	0	0	0
hsa-miR-6511a-5p	1.00	hsa-mir-6511b-1	1.00	0	1.00	0	0	0	0	0	0.40	0	0	0	0
hsa-miR-6511b-5p	4.00	hsa-mir-6511b-2	4.00	0	1.00	1.00	0	2.00	0	0	0.40	1.52	0	0.99	0
hsa-miR-6511b-3p	0.00	hsa-mir-6511b-2	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6511a-5p	1.00	hsa-mir-6511b-2	1.00	0	1.00	0	0	0	0	0	0.40	0	0	0	0
hsa-miR-6512-3p	0.00	hsa-mir-6512	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6512-5p	1.00	hsa-mir-6512	1.00	0	0	0	0	1.00	0	0	0	0	0	0.49	0
hsa-miR-6513-3p	3.00	hsa-mir-6513	3.00	0	0	0	1.00	2.00	0	0	0	0	0.23	0.99	0
hsa-miR-6513-5p	12.00	hsa-mir-6513	12.00	6.00	0	0	6.00	0	0	3.86	0	0	1.36	0	0
hsa-miR-6514-5p	6.00	hsa-mir-6514	6.00	0	1.00	0	0	2.00	3.00	0	0.40	0	0	0.99	1.50
hsa-miR-6514-3p	0.00	hsa-mir-6514	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6515-3p	0.00	hsa-mir-6515	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6515-5p	2.00	hsa-mir-6515	2.00	0	1.00	0	0	1.00	0	0	0.40	0	0	0.49	0
hsa-miR-6516-5p	12.00	hsa-mir-6516	12.00	3.00	4.00	0	3.00	0	2.00	1.93	1.58	0	0.68	0	1.00
hsa-miR-6516-3p	11.00	hsa-mir-6516	11.00	2.00	0	0	6.00	1.00	2.00	1.29	0	0	1.36	0.49	1.00
hsa-miR-652-5p	21.00	hsa-mir-652	21.00	4.00	3.00	0	6.00	5.00	3.00	2.57	1.19	0	1.36	2.47	1.50
hsa-miR-652-3p	3676.00	hsa-mir-652	3676.00	283.00	1253.00	212.00	913.00	647.00	368.00	182.03	495.65	321.82	206.34	319.50	183.70
hsa-miR-6529-5p	0.00	hsa-mir-6529	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6529-3p	0.00	hsa-mir-6529	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-653-5p	10.00	hsa-mir-653	10.00	5.00	2.00	0	3.00	0	0	3.22	0.79	0	0.68	0	0
hsa-miR-653-3p	0.00	hsa-mir-653	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-654-3p	2208.00	hsa-mir-654	2208.00	246.00	215.00	109.00	827.00	207.00	604.00	158.23	85.05	165.46	186.90	102.22	301.51
hsa-miR-654-5p	57.00	hsa-mir-654	57.00	1.00	12.00	6.00	15.00	14.00	9.00	0.64	4.75	9.11	3.39	6.91	4.49
hsa-miR-655-3p	61.00	hsa-mir-655	61.00	5.00	0	1.00	25.00	8.00	22.00	3.22	0	1.52	5.65	3.95	10.98
hsa-miR-655-5p	0.00	hsa-mir-655	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-656-5p	0.00	hsa-mir-656	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-656-3p	68.00	hsa-mir-656	68.00	8.00	0	2.00	24.00	13.00	21.00	5.15	0	3.04	5.42	6.42	10.48
hsa-miR-657	0.00	hsa-mir-657	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-658	1.00	hsa-mir-658	1.00	0	0	0	0	1.00	0	0	0	0	0	0.49	0
hsa-miR-659-5p	12.00	hsa-mir-659	12.00	1.00	3.00	2.00	1.00	4.00	1.00	0.64	1.19	3.04	0.23	1.98	0.50
hsa-miR-659-3p	2.00	hsa-mir-659	2.00	0	1.00	0	0	0	1.00	0	0.40	0	0	0	0.50
hsa-miR-660-3p	1.00	hsa-mir-660	1.00	0	0	0	0	0	1.00	0	0	0	0	0	0.50
hsa-miR-660-5p	579.00	hsa-mir-660	579.00	60.00	57.00	6.00	262.00	106.00	88.00	38.59	22.55	9.11	59.21	52.34	43.93
hsa-miR-661	0.00	hsa-mir-661	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-662	0.00	hsa-mir-662	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-663a	10.00	hsa-mir-663a	10.00	1.00	0	7.00	2.00	0	0	0.64	0	10.63	0.45	0	0
hsa-miR-663b	3.00	hsa-mir-663b	3.00	0	0	2.00	1.00	0	0	0	0	3.04	0.23	0	0
hsa-miR-664a-3p	800.00	hsa-mir-664a	800.00	155.00	72.00	33.00	272.00	185.00	83.00	99.70	28.48	50.09	61.47	91.36	41.43
hsa-miR-664a-5p	149.00	hsa-mir-664a	149.00	9.00	57.00	22.00	26.00	25.00	10.00	5.79	22.55	33.40	5.88	12.35	4.99
hsa-miR-664b-5p	7.00	hsa-mir-664b	7.00	2.00	4.00	0	0	1.00	0	1.29	1.58	0	0	0.49	0
hsa-miR-664b-3p	20.00	hsa-mir-664b	20.00	5.00	4.00	1.00	5.00	4.00	1.00	3.22	1.58	1.52	1.13	1.98	0.50
hsa-miR-665	161.00	hsa-mir-665	161.00	5.00	39.00	31.00	46.00	5.00	35.00	3.22	15.43	47.06	10.40	2.47	17.47
hsa-miR-668-5p	0.00	hsa-mir-668	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-668-3p	2.00	hsa-mir-668	2.00	0	0	0	2.00	0	0	0	0	0	0.45	0	0
hsa-miR-670-3p	0.00	hsa-mir-670	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-670-5p	0.00	hsa-mir-670	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-671-5p	511.00	hsa-mir-671	511.00	80.00	172.00	61.00	129.00	36.00	33.00	51.46	68.04	92.60	29.15	17.78	16.47
hsa-miR-671-3p	234.00	hsa-mir-671	234.00	16.00	80.00	28.00	55.00	30.00	25.00	10.29	31.65	42.50	12.43	14.81	12.48
hsa-miR-6715a-3p	0.00	hsa-mir-6715a	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6715b-3p	0.00	hsa-mir-6715b	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6715b-5p	0.00	hsa-mir-6715b	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6716-5p	0.00	hsa-mir-6716	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6716-3p	3.00	hsa-mir-6716	3.00	0	2.00	0	1.00	0	0	0	0.79	0	0.23	0	0
hsa-miR-6717-5p	0.00	hsa-mir-6717	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6718-5p	8.00	hsa-mir-6718	8.00	0	1.00	0	1.00	1.00	5.00	0	0.40	0	0.23	0.49	2.50
hsa-miR-6719-3p	0.00	hsa-mir-6719	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6720-3p	0.00	hsa-mir-6720	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6720-5p	0.00	hsa-mir-6720	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6721-5p	0.00	hsa-mir-6721	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6722-5p	0.00	hsa-mir-6722	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6722-3p	0.00	hsa-mir-6722	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6724-5p	23.00	hsa-mir-6724-1	23.00	3.00	14.00	1.00	3.00	0	2.00	1.93	5.54	1.52	0.68	0	1.00
hsa-miR-6724-5p	23.00	hsa-mir-6724-2	23.00	3.00	14.00	1.00	3.00	0	2.00	1.93	5.54	1.52	0.68	0	1.00
hsa-miR-6724-5p	23.00	hsa-mir-6724-3	23.00	3.00	14.00	1.00	3.00	0	2.00	1.93	5.54	1.52	0.68	0	1.00
hsa-miR-6724-5p	23.00	hsa-mir-6724-4	23.00	3.00	14.00	1.00	3.00	0	2.00	1.93	5.54	1.52	0.68	0	1.00
hsa-miR-6726-5p	0.00	hsa-mir-6726	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6726-3p	0.00	hsa-mir-6726	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6727-3p	0.00	hsa-mir-6727	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6727-5p	0.00	hsa-mir-6727	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6728-3p	0.00	hsa-mir-6728	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6728-5p	0.00	hsa-mir-6728	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6729-5p	0.00	hsa-mir-6729	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6729-3p	0.00	hsa-mir-6729	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6730-3p	0.00	hsa-mir-6730	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6730-5p	0.00	hsa-mir-6730	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6731-5p	0.00	hsa-mir-6731	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6731-3p	0.00	hsa-mir-6731	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6732-5p	1.00	hsa-mir-6732	1.00	0	0	0	0	0	1.00	0	0	0	0	0	0.50
hsa-miR-6732-3p	1.00	hsa-mir-6732	1.00	0	1.00	0	0	0	0	0	0.40	0	0	0	0
hsa-miR-6733-3p	0.00	hsa-mir-6733	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6733-5p	8.00	hsa-mir-6733	8.00	0	4.00	1.00	1.00	1.00	1.00	0	1.58	1.52	0.23	0.49	0.50
hsa-miR-6734-3p	0.00	hsa-mir-6734	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6734-5p	1.00	hsa-mir-6734	1.00	0	0	0	1.00	0	0	0	0	0	0.23	0	0
hsa-miR-6735-5p	3.00	hsa-mir-6735	3.00	1.00	2.00	0	0	0	0	0.64	0.79	0	0	0	0
hsa-miR-6735-3p	0.00	hsa-mir-6735	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6736-5p	1.00	hsa-mir-6736	1.00	0	0	0	1.00	0	0	0	0	0	0.23	0	0
hsa-miR-6736-3p	0.00	hsa-mir-6736	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6737-5p	0.00	hsa-mir-6737	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6737-3p	2.00	hsa-mir-6737	2.00	2.00	0	0	0	0	0	1.29	0	0	0	0	0
hsa-miR-6738-5p	0.00	hsa-mir-6738	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6738-3p	0.00	hsa-mir-6738	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6739-3p	0.00	hsa-mir-6739	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6739-5p	0.00	hsa-mir-6739	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6740-5p	0.00	hsa-mir-6740	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6740-3p	0.00	hsa-mir-6740	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6741-5p	1.00	hsa-mir-6741	1.00	0	0	0	0	1.00	0	0	0	0	0	0.49	0
hsa-miR-6741-3p	2.00	hsa-mir-6741	2.00	0	1.00	0	0	0	1.00	0	0.40	0	0	0	0.50
hsa-miR-6742-5p	0.00	hsa-mir-6742	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6742-3p	0.00	hsa-mir-6742	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6743-3p	0.00	hsa-mir-6743	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6743-5p	0.00	hsa-mir-6743	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6744-5p	0.00	hsa-mir-6744	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6744-3p	0.00	hsa-mir-6744	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6745	0.00	hsa-mir-6745	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6746-5p	0.00	hsa-mir-6746	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6746-3p	0.00	hsa-mir-6746	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6747-3p	1.00	hsa-mir-6747	1.00	0	1.00	0	0	0	0	0	0.40	0	0	0	0
hsa-miR-6747-5p	0.00	hsa-mir-6747	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6748-3p	1.00	hsa-mir-6748	1.00	0	0	0	1.00	0	0	0	0	0	0.23	0	0
hsa-miR-6748-5p	0.00	hsa-mir-6748	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6749-5p	0.00	hsa-mir-6749	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6749-3p	0.00	hsa-mir-6749	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-675-3p	624.00	hsa-mir-675	624.00	49.00	70.00	15.00	242.00	146.00	102.00	31.52	27.69	22.77	54.69	72.10	50.92
hsa-miR-675-5p	1145.00	hsa-mir-675	1145.00	35.00	265.00	29.00	423.00	293.00	100.00	22.51	104.83	44.02	95.60	144.69	49.92
hsa-miR-6750-5p	4.00	hsa-mir-6750	4.00	3.00	0	0	0	1.00	0	1.93	0	0	0	0.49	0
hsa-miR-6750-3p	1.00	hsa-mir-6750	1.00	0	0	0	1.00	0	0	0	0	0	0.23	0	0
hsa-miR-6751-5p	1.00	hsa-mir-6751	1.00	0	0	0	1.00	0	0	0	0	0	0.23	0	0
hsa-miR-6751-3p	0.00	hsa-mir-6751	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6752-5p	0.00	hsa-mir-6752	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6752-3p	0.00	hsa-mir-6752	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6753-5p	0.00	hsa-mir-6753	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6753-3p	3.00	hsa-mir-6753	3.00	0	2.00	0	1.00	0	0	0	0.79	0	0.23	0	0
hsa-miR-6754-5p	0.00	hsa-mir-6754	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6754-3p	0.00	hsa-mir-6754	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6755-3p	0.00	hsa-mir-6755	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6755-5p	1.00	hsa-mir-6755	1.00	0	1.00	0	0	0	0	0	0.40	0	0	0	0
hsa-miR-6756-5p	0.00	hsa-mir-6756	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6756-3p	0.00	hsa-mir-6756	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6757-3p	0.00	hsa-mir-6757	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6757-5p	0.00	hsa-mir-6757	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6758-3p	0.00	hsa-mir-6758	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6758-5p	0.00	hsa-mir-6758	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6759-5p	0.00	hsa-mir-6759	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6759-3p	0.00	hsa-mir-6759	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-676-5p	1.00	hsa-mir-676	1.00	1.00	0	0	0	0	0	0.64	0	0	0	0	0
hsa-miR-676-3p	1.00	hsa-mir-676	1.00	0	0	0	1.00	0	0	0	0	0	0.23	0	0
hsa-miR-6760-3p	0.00	hsa-mir-6760	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6760-5p	0.00	hsa-mir-6760	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6761-5p	1.00	hsa-mir-6761	1.00	0	1.00	0	0	0	0	0	0.40	0	0	0	0
hsa-miR-6761-3p	0.00	hsa-mir-6761	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6762-3p	0.00	hsa-mir-6762	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6762-5p	0.00	hsa-mir-6762	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6763-3p	0.00	hsa-mir-6763	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6763-5p	0.00	hsa-mir-6763	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6764-3p	0.00	hsa-mir-6764	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6764-5p	1.00	hsa-mir-6764	1.00	0	0	0	0	1.00	0	0	0	0	0	0.49	0
hsa-miR-6765-3p	0.00	hsa-mir-6765	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6765-5p	0.00	hsa-mir-6765	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6766-3p	1.00	hsa-mir-6766	1.00	0	0	1.00	0	0	0	0	0	1.52	0	0	0
hsa-miR-6766-5p	0.00	hsa-mir-6766	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6767-3p	0.00	hsa-mir-6767	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6767-5p	0.00	hsa-mir-6767	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6768-3p	0.00	hsa-mir-6768	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6768-5p	0.00	hsa-mir-6768	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6769a-5p	0.00	hsa-mir-6769a	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6769a-3p	0.00	hsa-mir-6769a	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6769b-3p	0.00	hsa-mir-6769b	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6769b-5p	0.00	hsa-mir-6769b	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6770-3p	0.00	hsa-mir-6770-1	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6770-5p	1.00	hsa-mir-6770-1	1.00	0	0	0	0	1.00	0	0	0	0	0	0.49	0
hsa-miR-6770-3p	0.00	hsa-mir-6770-2	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6770-5p	1.00	hsa-mir-6770-2	1.00	0	0	0	0	1.00	0	0	0	0	0	0.49	0
hsa-miR-6770-3p	0.00	hsa-mir-6770-3	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6770-5p	1.00	hsa-mir-6770-3	1.00	0	0	0	0	1.00	0	0	0	0	0	0.49	0
hsa-miR-6771-3p	0.00	hsa-mir-6771	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6771-5p	0.00	hsa-mir-6771	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6772-3p	0.00	hsa-mir-6772	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6772-5p	0.00	hsa-mir-6772	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6773-3p	0.00	hsa-mir-6773	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6773-5p	0.00	hsa-mir-6773	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6774-5p	1.00	hsa-mir-6774	1.00	0	0	0	1.00	0	0	0	0	0	0.23	0	0
hsa-miR-6774-3p	0.00	hsa-mir-6774	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6775-3p	0.00	hsa-mir-6775	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6775-5p	0.00	hsa-mir-6775	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6776-3p	0.00	hsa-mir-6776	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6776-5p	0.00	hsa-mir-6776	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6777-3p	0.00	hsa-mir-6777	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6777-5p	0.00	hsa-mir-6777	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6778-5p	0.00	hsa-mir-6778	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6778-3p	0.00	hsa-mir-6778	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6779-3p	0.00	hsa-mir-6779	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6779-5p	0.00	hsa-mir-6779	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6780a-5p	5.00	hsa-mir-6780a	5.00	1.00	1.00	2.00	0	1.00	0	0.64	0.40	3.04	0	0.49	0
hsa-miR-6780a-3p	0.00	hsa-mir-6780a	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6780b-5p	2.00	hsa-mir-6780b	2.00	0	1.00	0	0	0	1.00	0	0.40	0	0	0	0.50
hsa-miR-6780b-3p	0.00	hsa-mir-6780b	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6781-3p	0.00	hsa-mir-6781	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6781-5p	0.00	hsa-mir-6781	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6782-3p	1.00	hsa-mir-6782	1.00	0	0	0	0	1.00	0	0	0	0	0	0.49	0
hsa-miR-6782-5p	0.00	hsa-mir-6782	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6783-5p	3.00	hsa-mir-6783	3.00	0	0	0	3.00	0	0	0	0	0	0.68	0	0
hsa-miR-6783-3p	2.00	hsa-mir-6783	2.00	0	0	0	1.00	1.00	0	0	0	0	0.23	0.49	0
hsa-miR-6784-5p	0.00	hsa-mir-6784	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6784-3p	0.00	hsa-mir-6784	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6785-5p	0.00	hsa-mir-6785	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6785-3p	0.00	hsa-mir-6785	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6786-3p	3.00	hsa-mir-6786	3.00	0	2.00	0	1.00	0	0	0	0.79	0	0.23	0	0
hsa-miR-6786-5p	0.00	hsa-mir-6786	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6787-3p	1.00	hsa-mir-6787	1.00	0	0	0	0	0	1.00	0	0	0	0	0	0.50
hsa-miR-6787-5p	0.00	hsa-mir-6787	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6788-3p	0.00	hsa-mir-6788	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6788-5p	0.00	hsa-mir-6788	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6789-3p	0.00	hsa-mir-6789	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6789-5p	0.00	hsa-mir-6789	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6790-3p	0.00	hsa-mir-6790	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6790-5p	0.00	hsa-mir-6790	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6791-3p	0.00	hsa-mir-6791	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6791-5p	0.00	hsa-mir-6791	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6792-3p	0.00	hsa-mir-6792	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6792-5p	0.00	hsa-mir-6792	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6793-3p	0.00	hsa-mir-6793	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6793-5p	0.00	hsa-mir-6793	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6794-5p	0.00	hsa-mir-6794	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6794-3p	0.00	hsa-mir-6794	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6795-3p	0.00	hsa-mir-6795	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6795-5p	0.00	hsa-mir-6795	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6796-5p	0.00	hsa-mir-6796	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6796-3p	0.00	hsa-mir-6796	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6797-5p	1.00	hsa-mir-6797	1.00	0	0	0	0	0	1.00	0	0	0	0	0	0.50
hsa-miR-6797-3p	1.00	hsa-mir-6797	1.00	1.00	0	0	0	0	0	0.64	0	0	0	0	0
hsa-miR-6798-5p	0.00	hsa-mir-6798	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6798-3p	0.00	hsa-mir-6798	0.00	0	0	0	0	0	0	0	0	0	0	0	0
